Période,Label,Stratégie,Sharpe,Annualized Vol,Annualized Return,Total Return,Total Vol
1998-04-01 - 2000-03-01,Inflation-Up 1: Avril 1998 – Mars 2000,MomentumStrategy,2.45,0.20,0.50,1.164,0.29
1998-04-01 - 2000-03-01,Inflation-Up 1: Avril 1998 – Mars 2000,ValueStrategy,0.45,0.11,0.05,0.100,0.16
2002-05-01 - 2003-03-01,Inflation-Up 2: Mai 2002 – Mars 2003,MomentumStrategy,1.66,0.29,0.48,0.349,0.26
2002-05-01 - 2003-03-01,Inflation-Up 2: Mai 2002 – Mars 2003,ValueStrategy,-1.06,0.09,-0.09,-0.072,0.08
2004-02-01 - 2005-09-01,Inflation-Up 3: Février 2004 – Septembre 2005,MomentumStrategy,-0.10,0.12,-0.01,-0.019,0.16
2004-02-01 - 2005-09-01,Inflation-Up 3: Février 2004 – Septembre 2005,ValueStrategy,0.88,0.06,0.05,0.080,0.07
2006-11-01 - 2008-08-01,Inflation-Up 4: Novembre 2006 – Août 2008,MomentumStrategy,0.35,0.20,0.07,0.125,0.27
2006-11-01 - 2008-08-01,Inflation-Up 4: Novembre 2006 – Août 2008,ValueStrategy,0.87,0.08,0.07,0.133,0.11
2009-07-01 - 2009-12-01,Inflation-Up 5: Juillet 2009 – Décembre 2009,MomentumStrategy,-1.48,0.22,-0.33,-0.152,0.14
2009-07-01 - 2009-12-01,Inflation-Up 5: Juillet 2009 – Décembre 2009,ValueStrategy,-0.36,0.07,-0.03,-0.011,0.05
2010-11-01 - 2011-09-01,Inflation-Up 6: Novembre 2010 – Septembre 2011,MomentumStrategy,0.82,0.10,0.08,0.070,0.10
2010-11-01 - 2011-09-01,Inflation-Up 6: Novembre 2010 – Septembre 2011,ValueStrategy,-0.87,0.06,-0.05,-0.042,0.05
2015-04-01 - 2018-07-01,Inflation-Up 7: Avril 2015 – Juillet 2018,MomentumStrategy,-0.14,0.17,-0.02,-0.076,0.32
2015-04-01 - 2018-07-01,Inflation-Up 7: Avril 2015 – Juillet 2018,ValueStrategy,-0.50,0.08,-0.04,-0.120,0.14
2020-04-01 - 2020-06-01,Inflation-Up 8: Avril 2020 – Juin 2020,MomentumStrategy,-1.71,0.35,-0.59,-0.140,0.14
2020-04-01 - 2020-06-01,Inflation-Up 8: Avril 2020 – Juin 2020,ValueStrategy,1.35,0.10,0.13,0.021,0.04
1990-11-01 - 1998-04-01,Inflation-Down 1: Novembre 1990 – Avril 1998,MomentumStrategy,0.78,0.23,0.18,2.415,0.64
1990-11-01 - 1998-04-01,Inflation-Down 1: Novembre 1990 – Avril 1998,ValueStrategy,0.31,0.09,0.03,0.216,0.24
2000-03-01 - 2002-05-01,Inflation-Down 2: Mars 2000 – Mai 2002,MomentumStrategy,-0.91,0.25,-0.23,-0.431,0.38
2000-03-01 - 2002-05-01,Inflation-Down 2: Mars 2000 – Mai 2002,ValueStrategy,-0.19,0.11,-0.02,-0.042,0.16
2003-03-01 - 2004-02-01,Inflation-Down 3: Mars 2003 – Février 2004,MomentumStrategy,-1.48,0.16,-0.24,-0.203,0.15
2003-03-01 - 2004-02-01,Inflation-Down 3: Mars 2003 – Février 2004,ValueStrategy,1.52,0.05,0.08,0.065,0.05
2005-09-01 - 2006-11-01,Inflation-Down 4: Septembre 2005 – Novembre 2006,MomentumStrategy,-0.07,0.15,-0.01,-0.012,0.16
2005-09-01 - 2006-11-01,Inflation-Down 4: Septembre 2005 – Novembre 2006,ValueStrategy,-0.94,0.06,-0.05,-0.061,0.06
2008-08-01 - 2009-07-01,Inflation-Down 5: Août 2008 – Juillet 2009,MomentumStrategy,-0.87,0.46,-0.40,-0.375,0.45
2008-08-01 - 2009-07-01,Inflation-Down 5: Août 2008 – Juillet 2009,ValueStrategy,0.05,0.12,0.01,0.005,0.12
2009-12-01 - 2010-11-01,Inflation-Down 6: Décembre 2009 – Novembre 2010,MomentumStrategy,0.12,0.12,0.01,0.012,0.11
2009-12-01 - 2010-11-01,Inflation-Down 6: Décembre 2009 – Novembre 2010,ValueStrategy,1.10,0.06,0.07,0.065,0.06
2011-09-01 - 2015-04-01,Inflation-Down 7: Septembre 2011 – Avril 2015,MomentumStrategy,0.76,0.12,0.09,0.375,0.24
2011-09-01 - 2015-04-01,Inflation-Down 7: Septembre 2011 – Avril 2015,ValueStrategy,-0.15,0.07,-0.01,-0.036,0.13
2018-07-01 - 2020-04-01,Inflation-Down 8: Juillet 2018 – Avril 2020,MomentumStrategy,0.54,0.18,0.10,0.178,0.24
2018-07-01 - 2020-04-01,Inflation-Down 8: Juillet 2018 – Avril 2020,ValueStrategy,-0.67,0.08,-0.05,-0.092,0.11
